ID,Name,Address,Employee Type,Payment
688997,Karina Gay,998 Vitae St.,Hourly,3073.26
522759,TaShya D.Snow,2624 Hendrerit St.,Salaried,2083.56
165966,Rooney Alvarado,4963 Nisl. St. Ap #185,Commissioned,345.32
983010,Jolene Burgess,P.O. Box 873,Salaried,835.12
379767,Jin W.Morrison,8628 Id St.,Commissioned,886.42
969829,Bruce A.Raymond,65009 Iaculis Road,Hourly,0.0
283809,Hanae Dickson,1633 Dolor Av.,Hourly,0.0
224568,Jenna B.Strickland,70156 Rutrum Street,Hourly,0.0
752867,Ruth S.Haley,6384 Risus Av. Ap #943,Salaried,2543.76
163695,Beatrice P.Ware,8903 Eget Rd.,Hourly,0.0
226423,Randall Horton,3834 Tortor Av.,Salaried,1703.02
349833,Damian Garrison,1646 In Street,Salaried,4148.81
531061,Alvin Guerrero,248 Mauris St. Ap #748,Salaried,2351.29
169927,Alexandra Y.Duke,P.O. Box 727,Salaried,1318.0
454912,Sylvester J.Rowland,8628 Pede Ave,Hourly,0.0
285767,Porter Wolfe,4842 Tincidunt Av.,Hourly,0.0
674261,Scott T.Shields,8402 Pretium Rd. Ap #163,Hourly,0.0
265154,Amir Mcintosh,83493 Nibh. Ave,Commissioned,1026.62
160769,Grant X.Mccarthy,9846 Arcu. Road,Commissioned,165.12
426824,Mira Y.Wolf,37224 Pharetra Ave,Hourly,0.0
502141,Brock Sandoval,4882 Consectetuer Street,Salaried,2434.86
934003,Kelsey K.Saunders,9920 Aliquam Av. Ap #128,Hourly,0.0
377013,Teagan Goodwin,P.O. Box 317,Commissioned,377.9
